isbn,title,author_name,genre,publication_year,available_copies
9780026776226,Jude the Obscure,Thomas Hardy,Fiction,1895,1
9785208051290,Tess of the d'Urbervilles,Thomas Hardy,Fiction,1891,2
9789454610843,Far from the Madding Crowd,Thomas Hardy,Fiction,1874,3
9788224885672,Middlemarch,George Eliot,Fiction,1871,4
9785529077108,Silas Marner,George Eliot,Fiction,1861,1
9788602889933,Heart of Darkness,Joseph Conrad,Fiction,1899,2
9784955239463,Lord Jim,Joseph Conrad,Adventure,1900,3
9782407790029,The Time Machine,H.G. Wells,Science Fiction,1895,4
9782448450012,The War of the Worlds,H.G. Wells,Science Fiction,1898,1
9788607834044,The Invisible Man,H.G. Wells,Science Fiction,1897,2
9780109751980,Twenty Thousand Leagues Under the Seas,Jules Verne,Adventure,1870,3
9783162247681,Around the World in Eighty Days,Jules Verne,Adventure,1872,4
9786465565636,Journey to the Center of the Earth,Jules Verne,Adventure,1864,1
9788669870332,Robinson Crusoe,Daniel Defoe,Adventure,1719,2
9785568383130,Gulliver's Travels,Jonathan Swift,Adventure,1726,3
9786487790016,Don Quixote,Miguel de Cervantes,Fiction,1605,4
9781046364868,The Sorrows of Young Werther,Johann Wolfgang von Goethe,Fiction,1774,1
9785947048483,Madame Bovary,Gustave Flaubert,Fiction,1856,2
9780562156445,Pere Goriot,Honore de Balzac,Fiction,1835,3
9780428245757,Germinal,Emile Zola,Fiction,1885,4
9783405496197,Fathers and Sons,Ivan Turgenev,Fiction,1862,1
9789575068905,Dead Souls,Nikolai Gogol,Fiction,1842,2
9785347289103,Doctor Zhivago,Boris Pasternak,Historical Fiction,1957,3
9782393388903,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,Historical Fiction,1962,4
9785826391709,The Sound and the Fury,William Faulkner,Fiction,1929,1
9784342599972,As I Lay Dying,William Faulkner,Fiction,1930,2
9780645213560,Wise Blood,Flannery O'Connor,Fiction,1952,3
9789782752161,The Heart Is a Lonely Hunter,Carson McCullers,Fiction,1940,4
9789135710855,"Rabbit, Run",John Updike,Fiction,1960,1
9783120305248,American Pastoral,Philip Roth,Fiction,1997,2
9782861254518,The Adventures of Augie March,Saul Bellow,Fiction,1953,3
9788912535445,White Noise,Don DeLillo,Fiction,1985,4
9785632001823,The Crying of Lot 49,Thomas Pynchon,Fiction,1966,1
9783040519275,The Shipping News,Annie Proulx,Fiction,1993,2
9784488240172,Housekeeping,Marilynne Robinson,Fiction,1980,3
9783690984409,Angle of Repose,Wallace Stegner,Historical Fiction,1971,4
9785394504037,Crossing to Safety,Wallace Stegner,Fiction,1987,1
9783619895359,Cold Mountain,Charles Frazier,Historical Fiction,1997,2
9789160507895,A Clockwork Orange,Anthony Burgess,Dystopian,1962,3
9785957232568,The Quiet American,Graham Greene,Fiction,1955,4
9784398019318,The Power and the Glory,Graham Greene,Fiction,1940,1
9783662621028,Brideshead Revisited,Evelyn Waugh,Fiction,1945,2
9788219049416,Lucky Jim,Kingsley Amis,Fiction,1954,3
9789101971297,"The Sea, the Sea",Iris Murdoch,Fiction,1978,4
9785789097366,The Golden Notebook,Doris Lessing,Fiction,1962,1
9780134725864,The Prime of Miss Jean Brodie,Muriel Spark,Fiction,1961,2
9780939909605,NW,Zadie Smith,Fiction,2012,3
9783881357753,High Fidelity,Nick Hornby,Fiction,1995,4
9785877980259,Jonathan Strange & Mr Norrell,Susanna Clarke,Fantasy,2004,1
9789267089485,Piranesi,Susanna Clarke,Fantasy,2020,2
9789660509443,The Night Circus,Erin Morgenstern,Fantasy,2011,3
9789226205277,Six of Crows,Leigh Bardugo,Young Adult,2015,4
9786861819739,Shadow and Bone,Leigh Bardugo,Young Adult,2012,1
9780809413041,The Golden Compass,Philip Pullman,Fantasy,1995,2
9780616931714,The Subtle Knife,Philip Pullman,Fantasy,1997,3
9789536816286,Sabriel,Garth Nix,Fantasy,1995,4
9788313140859,Howl's Moving Castle,Diana Wynne Jones,Fantasy,1986,1
9784095406299,The Amulet of Samarkand,Jonathan Stroud,Fantasy,2003,2
9786169570813,Eragon,Christopher Paolini,Fantasy,2002,3
9788965817499,Artemis Fowl,Eoin Colfer,Children,2001,4
9780492933178,Inkheart,Cornelia Funke,Children,2003,1
9785985277081,Stranger in a Strange Land,Robert A. Heinlein,Science Fiction,1961,2
9781325814299,Starship Troopers,Robert A. Heinlein,Science Fiction,1959,3
