isbn,title,author_name,genre,publication_year,available_copies
9782963442745,Lonesome Dove,Larry McMurtry,Historical Fiction,1985,1
9786052122532,The Road,Cormac McCarthy,Dystopian,2006,2
9783838525303,Blood Meridian,Cormac McCarthy,Historical Fiction,1985,3
9784875836421,Gilead,Marilynne Robinson,Fiction,2004,4
9783426886922,Stoner,John Williams,Fiction,1965,1
9780394524788,Revolutionary Road,Richard Yates,Fiction,1961,2
9788335015814,The Age of Innocence,Edith Wharton,Fiction,1920,3
9788444200002,My Antonia,Willa Cather,Fiction,1918,4
9787048714472,The Call of the Wild,Jack London,Adventure,1903,1
9781741979398,A Confederacy of Dunces,John Kennedy Toole,Fiction,1980,2
